"Reporting Area","Current MMWR Year","Disease_Category","total_cases","Population","incidence_rate"
"Alaska",2024,"Pneumococcal",146,740133,19.73
"Alaska",2024,"Polio",0,740133,0
"Alaska",2024,"Rubella",0,740133,0
"Alaska",2024,"Varicella",0,740133,0
"Arizona",2022,"Hepatitis B",0,7377566,0
"Arizona",2022,"Influenza",123,7377566,1.67
"Arizona",2022,"Measles",5,7377566,0.07
"Arizona",2022,"Meningococcal",7,7377566,0.09
"Arizona",2022,"Mumps",2,7377566,0.03
"Arizona",2022,"Pertussis",104,7377566,1.41
"Arizona",2022,"Pneumococcal",1194,7377566,16.18
"Arizona",2022,"Polio",0,7377566,0
"Arizona",2022,"Rubella",0,7377566,0
"Arizona",2022,"Varicella",192,7377566,2.6
"Arizona",2023,"Hepatitis B",0,7473027,0
"Arizona",2023,"Influenza",139,7473027,1.86
"Arizona",2023,"Measles",1,7473027,0.01
"Arizona",2023,"Meningococcal",8,7473027,0.11
"Arizona",2023,"Mumps",6,7473027,0.08
"Arizona",2023,"Pertussis",337,7473027,4.51
"Arizona",2023,"Pneumococcal",1108,7473027,14.83
"Arizona",2023,"Polio",0,7473027,0
"Arizona",2023,"Rubella",0,7473027,0
"Arizona",2023,"Varicella",214,7473027,2.86
"Arizona",2024,"Hepatitis A",31,7582384,0.41
"Arizona",2024,"Hepatitis B",855,7582384,11.28
"Arizona",2024,"Influenza",155,7582384,2.04
"Arizona",2024,"Measles",5,7582384,0.07
"Arizona",2024,"Meningococcal",14,7582384,0.18
"Arizona",2024,"Mumps",2,7582384,0.03
"Arizona",2024,"Pertussis",762,7582384,10.05
"Arizona",2024,"Pneumococcal",1099,7582384,14.49
"Arizona",2024,"Polio",0,7582384,0
"Arizona",2024,"Rubella",0,7582384,0
"Arizona",2024,"Varicella",192,7582384,2.53
"Arkansas",2022,"Hepatitis B",0,3047704,0
"Arkansas",2022,"Influenza",76,3047704,2.49
"Arkansas",2022,"Measles",0,3047704,0
"Arkansas",2022,"Meningococcal",3,3047704,0.1
"Arkansas",2022,"Mumps",2,3047704,0.07
"Arkansas",2022,"Pertussis",16,3047704,0.52
"Arkansas",2022,"Pneumococcal",263,3047704,8.63
"Arkansas",2022,"Polio",0,3047704,0
"Arkansas",2022,"Rubella",0,3047704,0
"Arkansas",2022,"Varicella",47,3047704,1.54
"Arkansas",2023,"Hepatitis B",0,3069463,0
"Arkansas",2023,"Influenza",96,3069463,3.13
"Arkansas",2023,"Measles",0,3069463,0
"Arkansas",2023,"Meningococcal",2,3069463,0.07
"Arkansas",2023,"Mumps",2,3069463,0.07
"Arkansas",2023,"Pertussis",17,3069463,0.55
"Arkansas",2023,"Pneumococcal",314,3069463,10.23
"Arkansas",2023,"Polio",0,3069463,0
"Arkansas",2023,"Rubella",0,3069463,0
"Arkansas",2023,"Varicella",24,3069463,0.78
"Arkansas",2024,"Hepatitis A",10,3088354,0.32
"Arkansas",2024,"Hepatitis B",25,3088354,0.81
"Arkansas",2024,"Influenza",77,3088354,2.49
"Arkansas",2024,"Measles",0,3088354,0
"Arkansas",2024,"Meningococcal",2,3088354,0.06
"Arkansas",2024,"Mumps",2,3088354,0.06
"Arkansas",2024,"Pertussis",299,3088354,9.68
"Arkansas",2024,"Pneumococcal",354,3088354,11.46
"Arkansas",2024,"Polio",0,3088354,0
"Arkansas",2024,"Rubella",0,3088354,0
"Arkansas",2024,"Varicella",27,3088354,0.87
"California",2022,"Hepatitis B",5,39142414,0.01
"California",2022,"Influenza",60,39142414,0.15
"California",2022,"Measles",0,39142414,0
"California",2022,"Meningococcal",13,39142414,0.03
"California",2022,"Mumps",14,39142414,0.04
"California",2022,"Pertussis",84,39142414,0.21
"California",2022,"Pneumococcal",0,39142414,0
"California",2022,"Polio",0,39142414,0
"California",2022,"Rubella",0,39142414,0
"California",2022,"Varicella",14,39142414,0.04
"California",2023,"Hepatitis B",1,39198693,0
"California",2023,"Influenza",77,39198693,0.2
"California",2023,"Measles",3,39198693,0.01
"California",2023,"Meningococcal",30,39198693,0.08
"California",2023,"Mumps",55,39198693,0.14
"California",2023,"Pertussis",196,39198693,0.5
"California",2023,"Pneumococcal",0,39198693,0
"California",2023,"Polio",0,39198693,0
"California",2023,"Rubella",2,39198693,0.01
"California",2023,"Varicella",37,39198693,0.09
"California",2024,"Hepatitis A",302,39431263,0.77
"California",2024,"Hepatitis B",114,39431263,0.29
"California",2024,"Influenza",67,39431263,0.17
"California",2024,"Measles",15,39431263,0.04
"California",2024,"Meningococcal",58,39431263,0.15
"California",2024,"Mumps",28,39431263,0.07
"California",2024,"Pertussis",1775,39431263,4.5
"California",2024,"Pneumococcal",0,39431263,0
"California",2024,"Polio",0,39431263,0
"California",2024,"Rubella",0,39431263,0
"California",2024,"Varicella",33,39431263,0.08
"Colorado",2022,"Hepatitis B",0,5850935,0
"Colorado",2022,"Influenza",108,5850935,1.85
"Colorado",2022,"Measles",0,5850935,0
"Colorado",2022,"Meningococcal",7,5850935,0.12
"Colorado",2022,"Mumps",11,5850935,0.19
"Colorado",2022,"Pertussis",252,5850935,4.31
"Colorado",2022,"Pneumococcal",768,5850935,13.13
"Colorado",2022,"Polio",0,5850935,0
"Colorado",2022,"Rubella",0,5850935,0
"Colorado",2022,"Varicella",151,5850935,2.58
"Colorado",2023,"Hepatitis B",0,5901339,0
"Colorado",2023,"Influenza",123,5901339,2.08
"Colorado",2023,"Measles",0,5901339,0
"Colorado",2023,"Meningococcal",17,5901339,0.29
"Colorado",2023,"Mumps",14,5901339,0.24
"Colorado",2023,"Pertussis",244,5901339,4.13
"Colorado",2023,"Pneumococcal",620,5901339,10.51
"Colorado",2023,"Polio",0,5901339,0
"Colorado",2023,"Rubella",0,5901339,0
"Colorado",2023,"Varicella",509,5901339,8.63
"Colorado",2024,"Hepatitis A",13,5957493,0.22
"Colorado",2024,"Hepatitis B",289,5957493,4.85
"Colorado",2024,"Influenza",100,5957493,1.68
"Colorado",2024,"Measles",0,5957493,0
"Colorado",2024,"Meningococcal",19,5957493,0.32
"Colorado",2024,"Mumps",10,5957493,0.17
"Colorado",2024,"Pertussis",655,5957493,10.99
"Colorado",2024,"Pneumococcal",620,5957493,10.41
"Colorado",2024,"Polio",0,5957493,0
"Colorado",2024,"Rubella",0,5957493,0
"Colorado",2024,"Varicella",676,5957493,11.35
"Connecticut",2022,"Hepatitis B",0,3617925,0
"Connecticut",2022,"Influenza",41,3617925,1.13
"Connecticut",2022,"Measles",0,3617925,0
"Connecticut",2022,"Meningococcal",2,3617925,0.06
"Connecticut",2022,"Mumps",0,3617925,0
"Connecticut",2022,"Pertussis",7,3617925,0.19
"Connecticut",2022,"Pneumococcal",168,3617925,4.64
"Connecticut",2022,"Polio",0,3617925,0
"Connecticut",2022,"Rubella",0,3617925,0
"Connecticut",2022,"Varicella",63,3617925,1.74
"Connecticut",2023,"Hepatitis B",0,3643023,0
"Connecticut",2023,"Influenza",74,3643023,2.03
"Connecticut",2023,"Measles",0,3643023,0
"Connecticut",2023,"Meningococcal",5,3643023,0.14
"Connecticut",2023,"Mumps",3,3643023,0.08
"Connecticut",2023,"Pertussis",0,3643023,0
"Connecticut",2023,"Pneumococcal",126,3643023,3.46
"Connecticut",2023,"Polio",0,3643023,0
"Connecticut",2023,"Rubella",0,3643023,0
"Connecticut",2023,"Varicella",14,3643023,0.38
"Connecticut",2024,"Hepatitis A",7,3675069,0.19
"Connecticut",2024,"Hepatitis B",0,3675069,0
"Connecticut",2024,"Influenza",69,3675069,1.88
"Connecticut",2024,"Measles",0,3675069,0
"Connecticut",2024,"Meningococcal",4,3675069,0.11
"Connecticut",2024,"Mumps",2,3675069,0.05
"Connecticut",2024,"Pertussis",286,3675069,7.78
"Connecticut",2024,"Pneumococcal",250,3675069,6.8
"Connecticut",2024,"Polio",0,3675069,0
"Connecticut",2024,"Rubella",0,3675069,0
"Connecticut",2024,"Varicella",70,3675069,1.9
"Delaware",2022,"Hepatitis B",0,1020625,0
"Delaware",2022,"Influenza",3,1020625,0.29
"Delaware",2022,"Measles",0,1020625,0
"Delaware",2022,"Meningococcal",0,1020625,0
"Delaware",2022,"Mumps",0,1020625,0
"Delaware",2022,"Pertussis",1,1020625,0.1
"Delaware",2022,"Pneumococcal",8,1020625,0.78
"Delaware",2022,"Polio",0,1020625,0
"Delaware",2022,"Rubella",0,1020625,0
"Delaware",2022,"Varicella",8,1020625,0.78
"Delaware",2023,"Hepatitis B",0,1036423,0
"Delaware",2023,"Influenza",30,1036423,2.89
"Delaware",2023,"Measles",0,1036423,0
"Delaware",2023,"Meningococcal",1,1036423,0.1
"Delaware",2023,"Mumps",1,1036423,0.1
"Delaware",2023,"Pertussis",2,1036423,0.19
"Delaware",2023,"Pneumococcal",104,1036423,10.03
"Delaware",2023,"Polio",0,1036423,0
"Delaware",2023,"Rubella",1,1036423,0.1
"Delaware",2023,"Varicella",10,1036423,0.96
"Delaware",2024,"Hepatitis A",3,1051917,0.29
"Delaware",2024,"Hepatitis B",134,1051917,12.74
"Delaware",2024,"Influenza",25,1051917,2.38
"Delaware",2024,"Measles",0,1051917,0
"Delaware",2024,"Meningococcal",2,1051917,0.19
"Delaware",2024,"Mumps",1,1051917,0.1
"Delaware",2024,"Pertussis",53,1051917,5.04
"Delaware",2024,"Pneumococcal",116,1051917,11.03
"Delaware",2024,"Polio",0,1051917,0
"Delaware",2024,"Rubella",0,1051917,0
"Delaware",2024,"Varicella",1,1051917,0.1
"District Of Columbia",2022,"Hepatitis B",0,NA,NA
"District Of Columbia",2022,"Influenza",5,NA,NA
"District Of Columbia",2022,"Measles",0,NA,NA
"District Of Columbia",2022,"Meningococcal",1,NA,NA
"District Of Columbia",2022,"Mumps",2,NA,NA
"District Of Columbia",2022,"Pertussis",3,NA,NA
"District Of Columbia",2022,"Pneumococcal",26,NA,NA
"District Of Columbia",2022,"Polio",0,NA,NA
"District Of Columbia",2022,"Rubella",1,NA,NA
"District Of Columbia",2022,"Varicella",7,NA,NA
"District Of Columbia",2023,"Hepatitis B",0,NA,NA
"District Of Columbia",2023,"Influenza",5,NA,NA
"District Of Columbia",2023,"Measles",2,NA,NA
"District Of Columbia",2023,"Meningococcal",1,NA,NA
"District Of Columbia",2023,"Mumps",0,NA,NA
"District Of Columbia",2023,"Pertussis",5,NA,NA
"District Of Columbia",2023,"Pneumococcal",34,NA,NA
"District Of Columbia",2023,"Polio",0,NA,NA
"District Of Columbia",2023,"Rubella",0,NA,NA
"District Of Columbia",2023,"Varicella",29,NA,NA
"District Of Columbia",2024,"Hepatitis A",3,NA,NA
"District Of Columbia",2024,"Hepatitis B",126,NA,NA
"District Of Columbia",2024,"Influenza",7,NA,NA
"District Of Columbia",2024,"Measles",1,NA,NA
"District Of Columbia",2024,"Meningococcal",1,NA,NA
"District Of Columbia",2024,"Mumps",1,NA,NA
"District Of Columbia",2024,"Pertussis",22,NA,NA
"District Of Columbia",2024,"Pneumococcal",19,NA,NA
"District Of Columbia",2024,"Polio",0,NA,NA
"District Of Columbia",2024,"Rubella",0,NA,NA
"District Of Columbia",2024,"Varicella",13,NA,NA
"Florida",2022,"Hepatitis B",0,22379312,0
"Florida",2022,"Influenza",271,22379312,1.21
"Florida",2022,"Measles",0,22379312,0
"Florida",2022,"Meningococcal",68,22379312,0.3
"Florida",2022,"Mumps",13,22379312,0.06
"Florida",2022,"Pertussis",59,22379312,0.26
"Florida",2022,"Pneumococcal",675,22379312,3.02
"Florida",2022,"Polio",0,22379312,0
"Florida",2022,"Rubella",1,22379312,0
"Florida",2022,"Varicella",451,22379312,2.02
"Florida",2023,"Hepatitis B",1,22904868,0
"Florida",2023,"Influenza",462,22904868,2.02
"Florida",2023,"Measles",2,22904868,0.01
"Florida",2023,"Meningococcal",39,22904868,0.17
"Florida",2023,"Mumps",16,22904868,0.07
"Florida",2023,"Pertussis",90,22904868,0.39
"Florida",2023,"Pneumococcal",1103,22904868,4.82
"Florida",2023,"Polio",0,22904868,0
"Florida",2023,"Rubella",0,22904868,0
"Florida",2023,"Varicella",684,22904868,2.99
"Florida",2024,"Hepatitis A",120,23372215,0.51
"Florida",2024,"Hepatitis B",4731,23372215,20.24
"Florida",2024,"Influenza",410,23372215,1.75
"Florida",2024,"Measles",12,23372215,0.05
"Florida",2024,"Meningococcal",31,23372215,0.13
"Florida",2024,"Mumps",16,23372215,0.07
"Florida",2024,"Pertussis",732,23372215,3.13
"Florida",2024,"Pneumococcal",1230,23372215,5.26
"Florida",2024,"Polio",0,23372215,0
"Florida",2024,"Rubella",0,23372215,0
"Florida",2024,"Varicella",769,23372215,3.29
"Georgia",2022,"Hepatitis B",0,10931805,0
"Georgia",2022,"Influenza",72,10931805,0.66
"Georgia",2022,"Measles",0,10931805,0
"Georgia",2022,"Meningococcal",0,10931805,0
"Georgia",2022,"Mumps",3,10931805,0.03
"Georgia",2022,"Pertussis",41,10931805,0.38
"Georgia",2022,"Pneumococcal",282,10931805,2.58
"Georgia",2022,"Polio",0,10931805,0
"Georgia",2022,"Rubella",0,10931805,0
"Georgia",2022,"Varicella",97,10931805,0.89
"Georgia",2023,"Hepatitis B",0,11064432,0
"Georgia",2023,"Influenza",233,11064432,2.11
"Georgia",2023,"Measles",0,11064432,0
"Georgia",2023,"Meningococcal",16,11064432,0.14
"Georgia",2023,"Mumps",7,11064432,0.06
"Georgia",2023,"Pertussis",82,11064432,0.74
"Georgia",2023,"Pneumococcal",672,11064432,6.07
"Georgia",2023,"Polio",0,11064432,0
"Georgia",2023,"Rubella",0,11064432,0
"Georgia",2023,"Varicella",198,11064432,1.79
"Georgia",2024,"Hepatitis A",22,11180878,0.2
"Georgia",2024,"Hepatitis B",888,11180878,7.94
"Georgia",2024,"Influenza",204,11180878,1.82
"Georgia",2024,"Measles",6,11180878,0.05
"Georgia",2024,"Meningococcal",20,11180878,0.18
"Georgia",2024,"Mumps",6,11180878,0.05
"Georgia",2024,"Pertussis",280,11180878,2.5
"Georgia",2024,"Pneumococcal",671,11180878,6
"Georgia",2024,"Polio",0,11180878,0
"Georgia",2024,"Rubella",0,11180878,0
"Georgia",2024,"Varicella",219,11180878,1.96
"Hawaii",2022,"Hepatitis B",0,1440359,0
"Hawaii",2022,"Influenza",16,1440359,1.11
"Hawaii",2022,"Measles",1,1440359,0.07
"Hawaii",2022,"Meningococcal",1,1440359,0.07
"Hawaii",2022,"Mumps",3,1440359,0.21
"Hawaii",2022,"Pertussis",6,1440359,0.42
"Hawaii",2022,"Pneumococcal",64,1440359,4.44
"Hawaii",2022,"Polio",0,1440359,0
"Hawaii",2022,"Rubella",0,1440359,0
"Hawaii",2022,"Varicella",15,1440359,1.04
"Hawaii",2023,"Hepatitis B",0,1441387,0
"Hawaii",2023,"Influenza",37,1441387,2.57
"Hawaii",2023,"Measles",2,1441387,0.14
"Hawaii",2023,"Meningococcal",1,1441387,0.07
"Hawaii",2023,"Mumps",0,1441387,0
"Hawaii",2023,"Pertussis",2,1441387,0.14
"Hawaii",2023,"Pneumococcal",84,1441387,5.83
"Hawaii",2023,"Polio",0,1441387,0
"Hawaii",2023,"Rubella",0,1441387,0
"Hawaii",2023,"Varicella",9,1441387,0.62
"Hawaii",2024,"Hepatitis A",4,1446146,0.28
"Hawaii",2024,"Hepatitis B",0,1446146,0
"Hawaii",2024,"Influenza",42,1446146,2.9
"Hawaii",2024,"Measles",0,1446146,0
"Hawaii",2024,"Meningococcal",3,1446146,0.21
"Hawaii",2024,"Mumps",2,1446146,0.14
"Hawaii",2024,"Pertussis",70,1446146,4.84
"Hawaii",2024,"Pneumococcal",93,1446146,6.43
"Hawaii",2024,"Polio",0,1446146,0
"Hawaii",2024,"Rubella",0,1446146,0
"Hawaii",2024,"Varicella",25,1446146,1.73
"Idaho",2022,"Hepatitis B",0,1944299,0
"Idaho",2022,"Influenza",28,1944299,1.44
"Idaho",2022,"Measles",0,1944299,0
"Idaho",2022,"Meningococcal",2,1944299,0.1
"Idaho",2022,"Mumps",2,1944299,0.1
"Idaho",2022,"Pertussis",9,1944299,0.46
"Idaho",2022,"Pneumococcal",0,1944299,0
"Idaho",2022,"Polio",0,1944299,0
"Idaho",2022,"Rubella",0,1944299,0
"Idaho",2022,"Varicella",0,1944299,0
"Idaho",2023,"Hepatitis B",0,1971122,0
"Idaho",2023,"Influenza",36,1971122,1.83
"Idaho",2023,"Measles",8,1971122,0.41
"Idaho",2023,"Meningococcal",0,1971122,0
"Idaho",2023,"Mumps",3,1971122,0.15
"Idaho",2023,"Pertussis",13,1971122,0.66
"Idaho",2023,"Pneumococcal",0,1971122,0
"Idaho",2023,"Polio",0,1971122,0
"Idaho",2023,"Rubella",0,1971122,0
"Idaho",2023,"Varicella",0,1971122,0
"Idaho",2024,"Hepatitis A",2,2001619,0.1
"Idaho",2024,"Hepatitis B",65,2001619,3.25
"Idaho",2024,"Influenza",27,2001619,1.35
"Idaho",2024,"Measles",0,2001619,0
"Idaho",2024,"Meningococcal",2,2001619,0.1
"Idaho",2024,"Mumps",2,2001619,0.1
"Idaho",2024,"Pertussis",1049,2001619,52.41
"Idaho",2024,"Pneumococcal",0,2001619,0
"Idaho",2024,"Polio",0,2001619,0
"Idaho",2024,"Rubella",0,2001619,0
"Idaho",2024,"Varicella",0,2001619,0
"Illinois",2022,"Hepatitis B",1,12621821,0.01
"Illinois",2022,"Influenza",231,12621821,1.83
"Illinois",2022,"Measles",0,12621821,0
"Illinois",2022,"Meningococcal",3,12621821,0.02
"Illinois",2022,"Mumps",22,12621821,0.17
"Illinois",2022,"Pertussis",80,12621821,0.63
"Illinois",2022,"Pneumococcal",0,12621821,0
"Illinois",2022,"Polio",0,12621821,0
"Illinois",2022,"Rubella",0,12621821,0
"Illinois",2022,"Varicella",215,12621821,1.7
"Illinois",2023,"Hepatitis B",0,12642259,0
"Illinois",2023,"Influenza",232,12642259,1.84
"Illinois",2023,"Measles",5,12642259,0.04
"Illinois",2023,"Meningococcal",11,12642259,0.09
"Illinois",2023,"Mumps",43,12642259,0.34
"Illinois",2023,"Pertussis",607,12642259,4.8
"Illinois",2023,"Pneumococcal",0,12642259,0
"Illinois",2023,"Polio",0,12642259,0
"Illinois",2023,"Rubella",0,12642259,0
"Illinois",2023,"Varicella",472,12642259,3.73
"Illinois",2024,"Hepatitis A",44,12710158,0.35
"Illinois",2024,"Hepatitis B",1391,12710158,10.94
"Illinois",2024,"Influenza",267,12710158,2.1
"Illinois",2024,"Measles",67,12710158,0.53
"Illinois",2024,"Meningococcal",19,12710158,0.15
"Illinois",2024,"Mumps",23,12710158,0.18
"Illinois",2024,"Pertussis",2304,12710158,18.13
"Illinois",2024,"Pneumococcal",0,12710158,0
"Illinois",2024,"Polio",0,12710158,0
"Illinois",2024,"Rubella",0,12710158,0
"Illinois",2024,"Varicella",667,12710158,5.25
"Indiana",2022,"Hepatitis B",0,6844545,0
"Indiana",2022,"Influenza",179,6844545,2.62
"Indiana",2022,"Measles",0,6844545,0
"Indiana",2022,"Meningococcal",1,6844545,0.01
"Indiana",2022,"Mumps",17,6844545,0.25
"Indiana",2022,"Pertussis",69,6844545,1.01
"Indiana",2022,"Pneumococcal",638,6844545,9.32
"Indiana",2022,"Polio",0,6844545,0
"Indiana",2022,"Rubella",0,6844545,0
"Indiana",2022,"Varicella",145,6844545,2.12
"Indiana",2023,"Hepatitis B",0,6880131,0
"Indiana",2023,"Influenza",210,6880131,3.05
"Indiana",2023,"Measles",0,6880131,0
"Indiana",2023,"Meningococcal",5,6880131,0.07
"Indiana",2023,"Mumps",9,6880131,0.13
"Indiana",2023,"Pertussis",138,6880131,2.01
"Indiana",2023,"Pneumococcal",708,6880131,10.29
"Indiana",2023,"Polio",0,6880131,0
"Indiana",2023,"Rubella",0,6880131,0
"Indiana",2023,"Varicella",179,6880131,2.6
"Indiana",2024,"Hepatitis A",15,6924275,0.22
"Indiana",2024,"Hepatitis B",568,6924275,8.2
"Indiana",2024,"Influenza",182,6924275,2.63
"Indiana",2024,"Measles",1,6924275,0.01
"Indiana",2024,"Meningococcal",8,6924275,0.12
"Indiana",2024,"Mumps",14,6924275,0.2
"Indiana",2024,"Pertussis",468,6924275,6.76
"Indiana",2024,"Pneumococcal",690,6924275,9.96
"Indiana",2024,"Polio",0,6924275,0
"Indiana",2024,"Rubella",0,6924275,0
"Indiana",2024,"Varicella",221,6924275,3.19
"Iowa",2022,"Hepatitis B",0,3202820,0
"Iowa",2022,"Influenza",1,3202820,0.03
"Iowa",2022,"Measles",0,3202820,0
"Iowa",2022,"Meningococcal",5,3202820,0.16
"Iowa",2022,"Mumps",7,3202820,0.22
"Iowa",2022,"Pertussis",23,3202820,0.72
"Iowa",2022,"Pneumococcal",0,3202820,0
"Iowa",2022,"Polio",0,3202820,0
"Iowa",2022,"Rubella",0,3202820,0
"Iowa",2022,"Varicella",0,3202820,0
"Iowa",2023,"Hepatitis B",0,3218414,0
"Iowa",2023,"Influenza",4,3218414,0.12
"Iowa",2023,"Measles",0,3218414,0
"Iowa",2023,"Meningococcal",12,3218414,0.37
"Iowa",2023,"Mumps",10,3218414,0.31
"Iowa",2023,"Pertussis",52,3218414,1.62
"Iowa",2023,"Pneumococcal",0,3218414,0
"Iowa",2023,"Polio",0,3218414,0
"Iowa",2023,"Rubella",0,3218414,0
"Iowa",2023,"Varicella",0,3218414,0
"Iowa",2024,"Hepatitis A",2,3241488,0.06
"Iowa",2024,"Hepatitis B",324,3241488,10
"Iowa",2024,"Influenza",3,3241488,0.09
"Iowa",2024,"Measles",0,3241488,0
"Iowa",2024,"Meningococcal",3,3241488,0.09
"Iowa",2024,"Mumps",11,3241488,0.34
"Iowa",2024,"Pertussis",353,3241488,10.89
"Iowa",2024,"Pneumococcal",0,3241488,0
"Iowa",2024,"Polio",0,3241488,0
"Iowa",2024,"Rubella",0,3241488,0
"Iowa",2024,"Varicella",0,3241488,0
"Kansas",2022,"Hepatitis B",0,2937324,0
"Kansas",2022,"Influenza",25,2937324,0.85
"Kansas",2022,"Measles",0,2937324,0
"Kansas",2022,"Meningococcal",1,2937324,0.03
"Kansas",2022,"Mumps",2,2937324,0.07
"Kansas",2022,"Pertussis",9,2937324,0.31
"Kansas",2022,"Pneumococcal",147,2937324,5
"Kansas",2022,"Polio",0,2937324,0
"Kansas",2022,"Rubella",0,2937324,0
"Kansas",2022,"Varicella",0,2937324,0
"Kansas",2023,"Hepatitis B",0,2951500,0
"Kansas",2023,"Influenza",62,2951500,2.1
"Kansas",2023,"Measles",0,2951500,0
"Kansas",2023,"Meningococcal",2,2951500,0.07
"Kansas",2023,"Mumps",3,2951500,0.1
"Kansas",2023,"Pertussis",59,2951500,2
"Kansas",2023,"Pneumococcal",235,2951500,7.96
"Kansas",2023,"Polio",0,2951500,0
"Kansas",2023,"Rubella",0,2951500,0
"Kansas",2023,"Varicella",0,2951500,0
"Kansas",2024,"Hepatitis A",48,2970606,1.62
"Kansas",2024,"Hepatitis B",128,2970606,4.31
"Kansas",2024,"Influenza",56,2970606,1.89
"Kansas",2024,"Measles",0,2970606,0
"Kansas",2024,"Meningococcal",2,2970606,0.07
"Kansas",2024,"Mumps",3,2970606,0.1
"Kansas",2024,"Pertussis",253,2970606,8.52
"Kansas",2024,"Pneumococcal",194,2970606,6.53
"Kansas",2024,"Polio",0,2970606,0
"Kansas",2024,"Rubella",0,2970606,0
"Kansas",2024,"Varicella",0,2970606,0
"Kentucky",2022,"Hepatitis B",0,4519233,0
"Kentucky",2022,"Influenza",45,4519233,1
"Kentucky",2022,"Measles",0,4519233,0
"Kentucky",2022,"Meningococcal",2,4519233,0.04
"Kentucky",2022,"Mumps",2,4519233,0.04
"Kentucky",2022,"Pertussis",35,4519233,0.77
"Kentucky",2022,"Pneumococcal",292,4519233,6.46
"Kentucky",2022,"Polio",0,4519233,0
"Kentucky",2022,"Rubella",0,4519233,0
"Kentucky",2022,"Varicella",20,4519233,0.44
"Kentucky",2023,"Hepatitis B",0,4550595,0
"Kentucky",2023,"Influenza",118,4550595,2.59
"Kentucky",2023,"Measles",1,4550595,0.02
"Kentucky",2023,"Meningococcal",2,4550595,0.04
"Kentucky",2023,"Mumps",8,4550595,0.18
"Kentucky",2023,"Pertussis",94,4550595,2.07
"Kentucky",2023,"Pneumococcal",283,4550595,6.22
"Kentucky",2023,"Polio",0,4550595,0
"Kentucky",2023,"Rubella",0,4550595,0
"Kentucky",2023,"Varicella",38,4550595,0.84
"Kentucky",2024,"Hepatitis A",12,4588372,0.26
"Kentucky",2024,"Hepatitis B",74,4588372,1.61
"Kentucky",2024,"Influenza",153,4588372,3.33
"Kentucky",2024,"Measles",0,4588372,0
"Kentucky",2024,"Meningococcal",7,4588372,0.15
"Kentucky",2024,"Mumps",7,4588372,0.15
"Kentucky",2024,"Pertussis",471,4588372,10.27
"Kentucky",2024,"Pneumococcal",330,4588372,7.19
